Treatment,Rep,order,lnRR,Biomass_Contrib (%),Conc_Contrib (%)
PS0.5,1,4,-0.77714054,98.31209451,1.687905493
PS0.5,2,4,-0.542601071,95.20033321,4.799666791
PS0.5,3,4,-0.456389845,77.22512505,22.77487495
PS0.5,4,4,-0.603395804,75.75309027,24.24690973
PS0.5,5,4,-0.526812285,83.47767854,16.52232146
PS0.5,6,4,-0.581267909,85.99366432,14.00633568
PS2,1,2,-0.959024176,64.65647228,35.34352772
PS2,2,2,-0.731525718,54.81182881,45.18817119
PS2,3,2,-0.365484712,80.19814254,19.80185746
PS2,4,2,-0.822926186,71.73388683,28.26611317
PS2,5,2,-0.654025143,63.27715854,36.72284146
PS2,6,2,-0.654025143,63.27715854,36.72284146
PS5,1,18,0.121683785,61.29389291,38.70610709
PS5,2,18,-0.089455566,32.27311302,67.72688698
PS5,3,18,-0.172428772,28.00009202,71.99990798
PS5,4,18,0.339901794,95.03859561,4.961404393
PS5,5,18,0.193842076,65.61492176,34.38507824
PS5,6,18,0.193842076,65.61492176,34.38507824
PE0.5,1,3,-1.113711332,73.07708169,26.92291831
PE0.5,2,3,-0.335946582,98.95118109,1.048818906
PE0.5,3,3,-0.842905727,76.28168389,23.71831611
PE0.5,4,3,-0.606291965,53.20539132,46.79460868
PE0.5,5,3,-0.502122621,59.34076108,40.65923892
PE0.5,6,3,-0.680195645,72.17121981,27.82878019
PE2,1,16,0.06416431,61.61920482,38.38079518
PE2,2,16,0.042517071,99.248154,0.751846001
PE2,3,16,0.045724535,60.0280433,39.9719567
PE2,4,16,-0.387479419,20.85145498,79.14854502
PE2,5,16,-0.322918982,29.44533422,70.55466578
PE2,6,16,-0.111598497,54.23843826,45.76156174
PE5,1,5,-0.889401476,53.98724661,46.01275339
PE5,2,5,-0.091544713,27.16395075,72.83604925
PE5,3,5,-0.684533115,68.66046642,31.33953358
PE5,4,5,-0.763735162,51.09607099,48.90392901
PE5,5,5,-0.377274623,76.73157438,23.26842562
PE5,6,5,-0.561297818,55.52786183,44.47213817
PP0.5,1,15,-0.286089343,84.52557278,15.47442722
PP0.5,2,15,0.135233502,15.93580275,84.06419725
PP0.5,3,15,-0.743265499,71.44613481,28.55386519
PP0.5,4,15,-0.197444512,96.10284831,3.897151687
PP0.5,5,15,0.20345001,80.91578401,19.08421599
PP0.5,6,15,-0.177623168,69.78522853,30.21477147
PP2,1,8,-0.720827329,80.21004932,19.78995068
PP2,2,8,-0.290571852,75.98024999,24.01975001
PP2,3,8,0.014133159,53.70535085,46.29464915
PP2,4,8,-0.154166694,34.55264958,65.44735042
PP2,5,8,-0.07966117,67.96332912,32.03667088
PP2,6,8,-0.246218777,62.48232577,37.51767423
PP5,1,10,-0.134927208,37.25375869,62.74624131
PP5,2,10,0.063445551,9.767007314,90.23299269
PP5,3,10,-0.096461915,88.672753,11.327247
PP5,4,10,-0.420584701,50.22912266,49.77087734
PP5,5,10,-0.306336176,5.496482041,94.50351796
PP5,6,10,-0.17897289,38.28382474,61.71617526
PET0.5,1,9,0.109510639,62.73728661,37.26271339
PET0.5,2,9,-0.168208184,21.30274254,78.69725746
PET0.5,3,9,-0.060983605,45.56393355,54.43606645
PET0.5,4,9,-0.20632603,28.8552444,71.1447556
PET0.5,5,9,-0.332090223,1.908436368,98.09156363
PET0.5,6,9,-0.131619481,32.07352869,67.92647131
PET2,1,6,-0.387130947,8.910630801,91.0893692
PET2,2,6,-0.308729888,4.489156911,95.51084309
PET2,3,6,-0.635774596,40.67884682,59.32115318
PET2,4,6,-0.596237416,37.59566308,62.40433692
PET2,5,6,-0.463329296,20.95090012,79.04909988
PET2,6,6,-0.478240429,22.52503955,77.47496045
PET5,1,12,-0.254278844,8.430719863,91.56928014
PET5,2,12,0.013578626,51.2441449,48.7558551
PET5,3,12,-0.01834836,48.63662083,51.36337917
PET5,4,12,-0.554235139,44.98415059,55.01584941
PET5,5,12,-0.020528877,45.94103888,54.05896112
PET5,6,12,-0.166762519,39.84733501,60.15266499
PA0.5,1,17,0.255430827,65.85110134,34.14889866
PA0.5,2,17,-0.383451333,22.60606018,77.39393982
PA0.5,3,17,-0.118144962,39.62694079,60.37305921
PA0.5,4,17,0.2555207,75.43174165,24.56825835
PA0.5,5,17,-0.020322455,47.64193524,52.35806476
PA0.5,6,17,-0.002193445,50.23155584,49.76844416
PA2,1,13,-0.263508292,74.71008468,25.28991532
PA2,2,13,-0.438667287,31.61896025,68.38103975
PA2,3,13,0.34423297,71.08385883,28.91614117
PA2,4,13,-0.60967127,40.70399484,59.29600516
PA2,5,13,-0.028381576,42.79864669,57.20135331
PA2,6,13,-0.199199091,52.18310906,47.81689094
PA5,1,14,-0.179467329,30.75546795,69.24453205
PA5,2,14,-0.068340988,37.02650867,62.97349133
PA5,3,14,-0.296912448,5.73087933,94.26912067
PA5,4,14,-0.203050792,10.95089069,89.04910931
PA5,5,14,0.027852832,55.682679,44.317321
PA5,6,14,-0.143983745,28.02928513,71.97071487
PVC0.5,1,11,-0.307661978,31.52245462,68.47754538
PVC0.5,2,11,-0.521586302,1.389301924,98.61069808
PVC0.5,3,11,0.059023382,57.55024627,42.44975373
PVC0.5,4,11,-0.122689038,41.42992546,58.57007454
PVC0.5,5,11,0.061281555,58.00358183,41.99641817
PVC0.5,6,11,-0.166326476,37.97910202,62.02089798
PVC2,1,7,-0.380058464,56.02549759,43.97450241
PVC2,2,7,-0.26631205,36.45034398,63.54965602
PVC2,3,7,-0.300335724,1.505930763,98.49406924
PVC2,4,7,-0.049332912,39.05951999,60.94048001
PVC2,5,7,-0.549959557,54.28971426,45.71028574
PVC2,6,7,-0.309199741,37.46620132,62.53379868
PVC5,1,1,-1.41140229,72.63109465,27.36890535
PVC5,2,1,-1.17151548,98.48852408,1.511475915
PVC5,3,1,-1.28213613,99.21941487,0.780585126
PVC5,4,1,-0.79371777,75.71453163,24.28546837
PVC5,5,1,-0.899533342,86.80224736,13.19775264
PVC5,6,1,-1.111661002,86.57116252,13.42883748
