Treatment,Rep,order,SDW (g/plant),RDW (g/plant),SCd (mg/kg),RCd (mg/kg),TF,SBCF,RBCF,ECd (_g/plant),RN,RTN,L (cm),AD (mm),SA (mm2),V (mm3),SPAD,Ci,gs,A,E,WUE
CK,1,1,0.236,0.038,27.46,19.377,1.4171,7.9364,5.6003,6.4806,1276,406,369.1862,0.4619,6293.977,2785.437,36.6,325,357,15.1,9.79,1.55
CK,2,1,0.176,0.044,31.0899,15.6552,1.9859,8.9855,4.5246,5.4718,1213,809,366.5148,0.5487,8921.494,2877.041,37.2,353,436,16.5,9.19,1.53
CK,3,1,0.2721,0.0689,24.7707,14.7069,1.6843,7.1592,4.2506,6.7401,1051,368,281.2945,0.522,9910.444,2663.971,37.7,346,535,16.6,10.14,1.61
CK,4,1,0.218,0.0313,27.4853,16.6267,1.6531,7.9437,4.8054,5.9918,1113,528,372.3318,0.5109,8375.305,2842.149,37.1,336,413,14.9,10.62,1.76
CK,5,1,0.206,0.041,27.8732,16.5741,1.6817,8.0558,4.7902,5.7419,1108,416,375.9582,0.4735,6452.316,2342.932,37.6,330,281,15.8,10.3,1.65
CK,6,1,0.2216,0.0446,27.7358,16.588,1.672,8.0161,4.7942,6.1468,1152,505,353.0571,0.5034,7990.707,2702.306,37.2,338,404,15.8,10.01,1.62
PS0.5,1,5,0.1005,0.0167,28.1149,20.3408,1.3822,8.1257,5.8789,2.8255,430,258,164.5135,0.469,3879.105,1385.332,38.6,336,404,18.3,9.57,1.91
PS0.5,2,5,0.1322,0.0248,27.0228,16.3413,1.6537,7.8101,4.7229,3.5724,364,265,165.0302,0.3945,3997.768,1697.813,39.2,341,579,18.7,9.24,1.85
PS0.5,3,5,0.116,0.0143,33.5695,12.9783,2.5866,9.7022,3.751,3.8941,1014,572,338.4651,0.4543,6735.783,1293.951,37.6,348,500,18.2,11.24,1.62
PS0.5,4,5,0.1403,0.0249,23.9608,19.508,1.2283,6.9251,5.6381,3.3617,493,333,199.0875,0.44,4454.083,1564.263,35.7,301,192,19.1,8.77,2.27
PS0.5,5,5,0.1149,0.0191,31.5863,18.5296,1.7046,9.129,5.3554,3.6293,599,350,235.9317,0.4554,3994.431,1310.434,39.2,326,439,19.4,10.49,2.04
PS0.5,6,5,0.1207,0.0199,28.8509,17.5396,1.6449,8.3384,5.0693,3.4846,580,356,220.6056,0.4426,4612.234,1450.359,38.1,330,423,18.7,9.86,1.94
PS2,1,3,0.1192,0.0245,19.7622,16.1007,1.2274,5.7116,4.6534,2.3557,676,385,243.5974,0.4874,4372.289,2321.663,40,328,374,18.4,9.42,1.95
PS2,2,3,0.1484,0.0297,19.9287,16.7503,1.1898,5.7597,4.8411,2.9574,1402,725,442.6819,0.4641,8616.288,2302.071,34.2,322,335,17.8,9.13,1.95
PS2,3,3,0.1653,0.0331,25.7994,17.0146,1.5163,7.4565,4.9175,4.2646,1101,421,396.954,0.6027,7878.046,2887.471,37.6,354,527,17.4,11.96,1.45
PS2,4,3,0.1228,0.021,21.9796,16.3688,1.3428,6.3525,4.7309,2.6991,817,387,300.9894,0.5437,8352.032,3031.697,35.1,336,451,18.4,11.17,1.74
PS2,5,3,0.1465,0.0296,21.8139,17.4241,1.2519,6.3046,5.0359,3.1957,391,270,154.8208,0.4615,7366.552,2614.551,37.7,348,455,17.7,10.93,1.53
PS2,6,3,0.1404,0.0275,21.8568,16.7317,1.3063,6.317,4.8357,3.0696,877,438,307.8087,0.5119,7317.041,2631.491,36.9,338,428,17.9,10.52,1.72
PS5,1,19,0.3083,0.0552,22.5156,12.8498,1.7522,6.5074,3.7138,6.9416,2305,1195,703.6439,0.5052,13500.736,3030.927,37.1,335,519,18,12.08,1.5
PS5,2,19,0.2404,0.0372,23.379,11.4788,2.0367,6.7569,3.3176,5.6203,949,550,569.3305,0.4591,11208.837,2091.329,34.9,363,465,17.3,10.79,1.53
PS5,3,19,0.2473,0.0473,20.9171,15.8033,1.3236,6.0454,4.5674,5.1728,1294,681,442.0233,0.4901,8991.807,2663.672,35.9,351,560,17.3,10.12,1.61
PS5,4,19,0.3061,0.0583,28.2075,20.6703,1.3646,8.1524,5.9741,8.6343,1690,814,547.4705,0.6014,12388.944,3479.596,35.8,347,515,17.5,10.6,1.61
PS5,5,19,0.333,0.0585,22.4053,16.0212,1.3985,6.4755,4.6304,7.461,2633,1177,576.4293,0.539,12024.034,3399.229,37.2,359,550,18.1,13.15,1.49
PS5,6,19,0.287,0.0513,23.4849,15.3647,1.5285,6.7875,4.4407,6.7406,1774,883,567.7795,0.519,11622.872,2932.951,36.2,351,522,17.6,11.35,1.55
PE0.5,1,4,0.0982,0.0136,20.5504,16.8213,1.2217,5.9394,4.8617,2.018,1994,944,604.2425,0.5214,6208.985,2114.613,37,329,236,14.7,6.57,2.24
PE0.5,2,4,0.1578,0.0296,27.8358,16.6789,1.6689,8.045,4.8205,4.3925,1415,368,193.1433,0.5456,7062.83,1595.892,37.8,308,190,14,5.82,2.41
PE0.5,3,4,0.1165,0.0135,22.7099,16.5751,1.3701,6.5636,4.7905,2.6457,909,530,304.4078,0.4804,6538.045,1213.71,35.8,333,243,13.6,7.33,1.86
PE0.5,4,4,0.1605,0.0285,20.8846,13.3503,1.5644,6.036,3.8585,3.352,530,366,152.733,0.495,6057.446,2857.457,38.1,348,422,18.4,10.94,1.68
PE0.5,5,4,0.1645,0.0265,22.6139,15.9262,1.4199,6.5358,4.603,3.72,1212,552,313.6317,0.5106,6466.826,1945.418,36.6,352,426,17.8,10.41,1.71
PE0.5,6,4,0.1395,0.0223,22.9189,15.8704,1.4441,6.624,4.5868,3.1972,1212,552,313.6317,0.5106,6466.826,1945.418,37.1,334,303,15.7,8.21,1.98
PE2,1,17,0.2627,0.049,24.9469,18.6488,1.3377,7.2101,5.3898,6.5536,1425,768,435.5665,0.4951,7931.453,1611.643,33.5,352,421,17.6,9.94,1.77
PE2,2,17,0.2313,0.0373,27.7268,19.1147,1.4505,8.0135,5.5245,6.4132,1589,878,471.0811,0.4636,7505.236,1250.933,35.3,356,401,19.2,9.26,1.71
PE2,3,17,0.2541,0.0403,25.32,12.5618,2.0156,7.3179,3.6306,6.4338,777,504,236.9479,0.4288,9114.453,1519.322,32.1,344,381,17.7,9.2,1.92
PE2,4,17,0.2044,0.0325,20.4103,17.2141,1.1857,5.8989,4.9752,4.1719,2255,1236,646.4702,0.4782,6324.293,2073.86,38.7,335,379,16.1,9.87,1.94
